Año,INSTITUCION,% Deserción,INSTITUCION_LATITUDE,INSTITUCION_LONGITUD
2016,LICEO COOPERATIVO CAMPESTRE,4.8,5.700979918,-72.92407606
2016,LICEO GABRIELA MISTRAL,8.51063829787234,5.714955514,-72.93780224
2016,LICEO LA PRESENTACION SOGAMOSO,2.0140105078809105,5.719042672,-72.9395699
2016,LICEO PELDAÑOS,20.833333333333336,5.71980808,-72.92262766
2016,LICEO SAN FERNANDO,10.476190476190476,5.719814479,-72.9283044
2016,LICEO SAN NICOLAS DE TOLENTINO,5.225653206650831,5.729902583,-72.91654868
2016,LICEO SANTO ÁNGEL,20.0,5.721966093,-72.92095634
2017,CARITAS FELICES HIGH SCHOOL,28.205128205128204,5.70852068,-72.94231463
2017,CENTRO DE DESARROLLO HUMANO CEDHU,3.0141843971631204,5.727487272,-72.91756557
2017,COLEGIO ACUARELA CAMPESTRE,8.98876404494382,5.730212985,-72.91795212
2017,COLEGIO ALEJANDRO DE HUMBOLDT,4.521739130434783,5.705905456,-72.93141246
2017,COLEGIO BASICO PESTALOZZI,4.054054054054054,5.708635258,-72.9300768
2017,COLEGIO CELCO,5.2109181141439205,5.72353309,-72.92434841
2017,COLEGIO CELESTIN FREINET,8.333333333333332,5.719746773,-72.92994858
2017,COLEGIO CIUDAD DEL SOL,3.0434782608695654,5.715408077,-72.93163362
2017,COLEGIO COMERCIAL ADVENTISTA DE SOGAMOSO CADES,4.910714285714286,5.721328674,-72.92831918
2017,COLEGIO COOPERATIVO REYES PATRIA,3.84204909284952,5.727687999,-72.92028691
2017,COLEGIO DE EDUCACION FORMAL FLEXIBLE SAN MATEO,23.75,5.715936476,-72.92788518
2017,COLEGIO ECOLOGICO DEL NORTE,3.8461538461538463,5.738007866,-72.91023069
2017,COLEGIO LA RANA RENE,1.5625,5.718583976,-72.9238786
2017,COLEGIO MILITAR INOCENCIO CHINCA,39.75155279503105,5.727239975,-72.92707888
2017,COLEGIO NUESTRA SEÑORA DEL ROSARIO,2.7923211169284468,5.71946,-72.9228157
2017,COLEGIO PSICOPEDAGÓGICO DE SOGAMOSO,7.142857142857142,5.723353205,-72.92149567
2017,COLEGIO SAN JOSE,4.761904761904762,5.7204461,-72.93062463
2017,COLEGIO SAN PABLO APOSTOL,3.4090909090909087,5.719634768,-72.93092505
2017,COLEGIO SANTA CATALINA,4.597701149425287,5.710533981,-72.9380581
2017,COLEGIO SANTO DOMINGO,27.906976744186046,5.72284793,-72.94035325
2017,COLEGIO SUAMOX,8.955223880597014,5.721883689,-72.92163758
2017,COLEGIO UNICAB VIRTUAL,37.00787401574803,5.720373875,-72.9305891
2017,EL TALLER DE WINNIE POO,0.0,5.727116277,-72.91983898
2017,FRIEDRICH FROBEL COUNTRY SCHOOL,6.666666666666667,5.685059517,-72.9549741
2017,GIMNASIO MODERNO,4.0,5.722947772,-72.92855628
2017,GIMNASIO MODERNO MONTESSORI,5.555555555555555,5.728421472,-72.92027502
2017,INSTITUCION EDUCATIVA ANTONIO NARIÑO,64.76190476190476,5.719343915,-72.93165071
2017,INSTITUCION EDUCATIVA COLEGIO DE SUGAMUXI,6.549232158988256,5.70323136,-72.92780834
2017,INSTITUCION EDUCATIVA COLEGIO EMPRESARIAL DE BOYACA,3.571428571428571,5.716632154,-72.92435427
2017,INSTITUCION EDUCATIVA EL CRUCERO,4.747774480712167,5.61973902,-72.90691501
